F, [2016-09-06T14:00:27.286149 #7110] FATAL -- : [97e0bf6e-cb0e-4c20-9ec7-f1626c53e002] actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-09-06T14:00:27.286195 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-09-06T14:00:27.286241 #7110] FATAL -- : [97e0bf6e-cb0e-4c20-9ec7-f1626c53e002] rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-09-06T14:00:27.286287 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-09-06T14:00:27.286335 #7110] FATAL -- : [97e0bf6e-cb0e-4c20-9ec7-f1626c53e002] railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-09-06T14:00:27.286381 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-09-06T14:00:27.286428 #7110] FATAL -- : [97e0bf6e-cb0e-4c20-9ec7-f1626c53e002] puma (3.6.0) lib/puma/configuration.rb:225:in `call'
F, [2016-09-06T14:00:27.286475 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-09-06T14:00:27.286521 #7110] FATAL -- : [97e0bf6e-cb0e-4c20-9ec7-f1626c53e002] puma (3.6.0) lib/puma/server.rb:578:in `handle_request'
F, [2016-09-06T14:00:27.286613 #7110] FATAL -- : [97e0bf6e-cb0e-4c20-9ec7-f1626c53e002] puma (3.6.0) lib/puma/server.rb:415:in `process_client'
F, [2016-09-06T14:00:27.286567 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-09-06T14:00:27.286670 #7110] FATAL -- : [97e0bf6e-cb0e-4c20-9ec7-f1626c53e002] puma (3.6.0) lib/puma/server.rb:275:in `block in run'
F, [2016-09-06T14:00:27.286739 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-09-06T14:00:27.286788 #7110] FATAL -- : [97e0bf6e-cb0e-4c20-9ec7-f1626c53e002] puma (3.6.0) lib/puma/thread_pool.rb:116:in `block in spawn_thread'
F, [2016-09-06T14:00:27.286836 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-09-06T14:00:27.287281 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-09-06T14:00:27.287314 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] puma (3.6.0) lib/puma/configuration.rb:225:in `call'
F, [2016-09-06T14:00:27.287344 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] puma (3.6.0) lib/puma/server.rb:578:in `handle_request'
F, [2016-09-06T14:00:27.287373 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] puma (3.6.0) lib/puma/server.rb:415:in `process_client'
F, [2016-09-06T14:00:27.287401 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] puma (3.6.0) lib/puma/server.rb:275:in `block in run'
F, [2016-09-06T14:00:27.287430 #7110] FATAL -- : [5804089e-71d4-4292-875b-fe301f1ffeb9] puma (3.6.0) lib/puma/thread_pool.rb:116:in `block in spawn_thread'
I, [2016-09-06T14:00:29.275472 #7110]  INFO -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] Started GET "/favicon.ico" for 127.0.0.1 at 2016-09-06 14:00:29 +1000
F, [2016-09-06T14:00:29.276534 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5]   
F, [2016-09-06T14:00:29.276597 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] ActionController::RoutingError (No route matches [GET] "/favicon.ico"):
F, [2016-09-06T14:00:29.276628 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5]   
F, [2016-09-06T14:00:29.276657 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-09-06T14:00:29.276684 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-09-06T14:00:29.276711 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-09-06T14:00:29.276737 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
